time,value
2010-01-01,18097.842686656
2010-02-01,18574.5833733994
2010-03-01,18951.4804718034
2010-04-01,19198.9478021163
2010-05-01,19143.3332652458
2010-06-01,18616.3077384105
2010-07-01,17624.8212918249
2010-08-01,16411.3028776629
2010-09-01,15363.4293222479
2010-10-01,14744.7955920424
2010-11-01,14658.4892392285
2010-12-01,15026.0875241217
2011-01-01,15679.740908707
2011-02-01,16409.2394638981
2011-03-01,17052.9408975854
2011-04-01,17511.9721327183
2011-05-01,17706.504968584
2011-06-01,17580.3840814762
2011-07-01,17137.2853356196
2011-08-01,16492.3546703994
2011-09-01,15813.2145496451
2011-10-01,15327.9496550212
2011-11-01,15172.0115981401
2011-12-01,15303.1345099316
2012-01-01,15564.8103540569
2012-02-01,15816.5911227468
2012-03-01,16002.3009950243
2012-04-01,16160.8180563056
2012-05-01,16499.0176032561
2012-06-01,17264.2986331426
2012-07-01,18545.844415095
2012-08-01,20177.3069014575
2012-09-01,21777.9953178658
2012-10-01,22936.0417620484
2012-11-01,23369.6575724344
2012-12-01,23069.6581078654
2013-01-01,22204.0006250443
2013-02-01,21065.3306158035
2013-03-01,19960.4288097711
2013-04-01,19106.045646658
2013-05-01,18575.8060590967
2013-06-01,18330.7446640478
2013-07-01,18351.5878220134
2013-08-01,18561.0580036031
2013-09-01,18861.4954580888
2013-10-01,19107.8008140768
2013-11-01,19223.1398595582
2013-12-01,19246.0941431452
2014-01-01,19291.4335964987
2014-02-01,19435.9960932697
2014-03-01,19678.9247565406
2014-04-01,19942.7708067354
2014-05-01,20022.2314332119
2014-06-01,19711.5216945237
2014-07-01,18908.8494746272
2014-08-01,17761.628680174
2014-09-01,16670.5072243013
2014-10-01,16031.5735492616
2014-11-01,16073.5491339096
2014-12-01,16764.6634727726
2015-01-01,17900.5054963743
2015-02-01,19152.4570439869
2015-03-01,20195.4288816668
2015-04-01,20803.22223991
2015-05-01,20972.1742346295
2015-06-01,20871.320833729
2015-07-01,20717.3207496406
2015-08-01,20656.8442747727
2015-09-01,20705.2058137281
2015-10-01,20853.1137327995
2015-11-01,21016.2027749711
2015-12-01,21020.1559193514
2016-01-01,20712.2278732197
2016-02-01,20095.3785100788
2016-03-01,19360.0795307011
2016-04-01,18777.4667842371
2016-05-01,18518.9171929908
2016-06-01,18535.2004088115
2016-07-01,18595.6112685003
2016-08-01,18526.0845148777
2016-09-01,18227.7027375502
2016-10-01,17759.6610166828
2016-11-01,17301.9679770334
2016-12-01,17031.2447571935
2017-01-01,16955.1648639431
2017-02-01,17017.5496865006
2017-03-01,17095.3775442858
2017-04-01,17193.8459507287
2017-05-01,17409.6456243986
2017-06-01,17807.2732365131
2017-07-01,18319.5281271556
2017-08-01,18731.0387729547
2017-09-01,18824.1398548825
2017-10-01,18542.9473968651
2017-11-01,17935.1131914457
2017-12-01,17219.7539594812
2018-01-01,16597.2868882952
2018-02-01,16165.8436960771
2018-03-01,15917.9905706534
2018-04-01,15785.7047858984
2018-05-01,15688.3828505524
2018-06-01,15705.699659982
2018-07-01,15964.7348020821
2018-08-01,16514.0846027615
2018-09-01,17288.6172101696
2018-10-01,18071.9201320579
2018-11-01,18672.6579413598
2018-12-01,19013.6595707136
2019-01-01,19162.8178000571
2019-02-01,19223.7578673939
2019-03-01,19261.2737890193
2019-04-01,19241.4203499037
2019-05-01,19095.5116008435
2019-06-01,18751.0588827648
2019-07-01,18271.9884065334
2019-08-01,17829.3040783167
2019-09-01,17578.3115292299
2019-10-01,17531.1944211824
2019-11-01,17652.9567293215
2019-12-01,17834.4192697352
2020-01-01,18066.1611148449
2020-02-01,18407.1373510094
2020-03-01,18885.0861751391
2020-04-01,19400.2234955627
2020-05-01,19773.346071295
2020-06-01,19818.0199627159
