time,value
1991-01-01,40471.741122473
1991-02-01,41631.2577909632
1991-03-01,48457.3259590651
1991-04-01,57673.2152865993
1991-05-01,57998.956681793
1991-06-01,55405.30458229
1991-07-01,50068.443686533
1991-08-01,51603.455067792
1991-09-01,53222.7484918985
1991-10-01,57944.4094687082
1991-11-01,60303.07909307
1991-12-01,63560.7510739374
1992-01-01,68196.0294197124
1992-02-01,72301.0748390077
1992-03-01,77087.4442070721
1992-04-01,82315.3127813254
1992-05-01,83297.2063394716
1992-06-01,85288.6237489536
1992-07-01,86308.6703465427
1992-08-01,91070.6410576391
1992-09-01,93533.2813216822
1992-10-01,94828.5364949543
1992-11-01,99106.8679827022
1992-12-01,100435.516593975
1993-01-01,101956.416132361
1993-02-01,104367.622572923
1993-03-01,105675.587341535
1993-04-01,105137.603331027
1993-05-01,105178.273956259
1993-06-01,111052.710293334
1993-07-01,117358.715865805
1993-08-01,120334.661998483
1993-09-01,116418.812906086
1993-10-01,111350.640860937
1993-11-01,111715.173846441
1993-12-01,108429.271488627
1994-01-01,103768.344095657
1994-02-01,102452.648214143
1994-03-01,99169.8299701871
1994-04-01,95236.4009867551
1994-05-01,91985.5272091735
1994-06-01,95047.278860092
1994-07-01,96110.3759153624
1994-08-01,94824.1698681714
1994-09-01,93894.034822836
1994-10-01,93741.7153041521
1994-11-01,91564.2874085697
1994-12-01,91663.3971135339
1995-01-01,91308.5343302573
1995-02-01,89038.8776046045
1995-03-01,87245.2252542252
1995-04-01,86564.2976175683
1995-05-01,84523.5022919369
1995-06-01,82837.7122200477
1995-07-01,79799.2272908774
1995-08-01,79721.223497458
1995-09-01,79148.2190228827
1995-10-01,79518.9525552076
1995-11-01,79420.2466992736
1995-12-01,79735.4454168885
1996-01-01,81109.4849931938
1996-02-01,82067.4877989206
1996-03-01,83530.1643066245
1996-04-01,87260.5355422323
1996-05-01,87104.5326485781
1996-06-01,85728.772989513
1996-07-01,82801.07915707
1996-08-01,83388.4581274065
1996-09-01,86222.794394054
1996-10-01,90288.6428503987
1996-11-01,91599.8475679505
1996-12-01,92726.0559247411
1997-01-01,97779.7010211869
1997-02-01,99627.856770178
1997-03-01,96894.7174064587
1997-04-01,95355.1647883795
1997-05-01,94860.8963303097
1997-06-01,94570.8939253125
1997-07-01,94706.1241319814
1997-08-01,94295.0734628327
1997-09-01,92520.1734352824
1997-10-01,89754.2772101894
1997-11-01,88598.513089449
1997-12-01,87598.790874912
1998-01-01,86814.3244173029
1998-02-01,86113.4921924009
1998-03-01,85002.4511624443
1998-04-01,84805.4305826685
1998-05-01,83259.7042953684
1998-06-01,81770.7954760482
1998-07-01,80252.923987577
1998-08-01,77808.4354220455
1998-09-01,77491.44597292
1998-10-01,76162.3536055058
1998-11-01,74348.8141521571
1998-12-01,73831.354530849
1999-01-01,73400.4977790201
1999-02-01,72820.3622466585
1999-03-01,73165.1030799536
1999-04-01,73885.4794642378
1999-05-01,72899.8156129668
1999-06-01,72428.0955474665
1999-07-01,71373.1745649123
1999-08-01,68913.6661912358
1999-09-01,70767.8764701458
1999-10-01,72897.8805354723
1999-11-01,70644.4103968527
1999-12-01,69766.7522210788
2000-01-01,68744.5863186394
2000-02-01,67611.8668856576
2000-03-01,67075.8011434924
2000-04-01,65885.8952853099
2000-05-01,65028.5115471605
2000-06-01,67322.2618916654
2000-07-01,69793.5149641931
2000-08-01,67362.4630023151
2000-09-01,68286.9115296129
2000-10-01,69317.4210866491
2000-11-01,68018.3038615255
2000-12-01,66709.8595522623
2001-01-01,64967.0974321732
2001-02-01,64613.6412843524
2001-03-01,65861.9142144278
2001-04-01,67703.5548569216
2001-05-01,68276.0724846319
2001-06-01,67671.497125999
2001-07-01,67826.0217361041
2001-08-01,67937.0476445196
2001-09-01,66078.309406911
2001-10-01,65626.2886493362
2001-11-01,70288.826059049
2001-12-01,69482.5628702336
2002-01-01,69057.5625633122
2002-02-01,70910.6283415281
2002-03-01,73893.2414035225
2002-04-01,77616.6672933985
2002-05-01,79200.8630779997
2002-06-01,79848.6622604739
2002-07-01,80354.9546018326
2002-08-01,82405.4448292831
2002-09-01,84520.4080807271
2002-10-01,84924.6735664314
2002-11-01,89247.2628909315
2002-12-01,90811.5402903029
2003-01-01,94548.8514535397
2003-02-01,97333.6730464991
2003-03-01,98285.140439845
2003-04-01,98535.8682131114
2003-05-01,100741.664875126
2003-06-01,102522.665303438
2003-07-01,104336.411383103
2003-08-01,105594.761211669
2003-09-01,107521.967722281
2003-10-01,109738.352963216
2003-11-01,110762.573470878
2003-12-01,110540.978404706
2004-01-01,111488.763866311
2004-02-01,111588.228292797
2004-03-01,110571.200379187
2004-04-01,108083.091474574
2004-05-01,106863.493578874
2004-06-01,109435.401606258
2004-07-01,111879.699697242
2004-08-01,113383.260162093
2004-09-01,112802.179563178
2004-10-01,110969.827449845
2004-11-01,111110.229488857
2004-12-01,112077.473329822
2005-01-01,112778.26001501
2005-02-01,113178.765661043
2005-03-01,113300.514541068
2005-04-01,113254.642493712
2005-05-01,113275.137323603
2005-06-01,113519.727500272
2005-07-01,112813.901094096
2005-08-01,113954.584866164
2005-09-01,113006.622965261
2005-10-01,112586.048329352
2005-11-01,111272.484370549
2005-12-01,108255.012707295
2006-01-01,104345.825753424
2006-02-01,103324.289293088
2006-03-01,102672.1226024
2006-04-01,100918.201484101
2006-05-01,100168.897582711
2006-06-01,100816.801241945
2006-07-01,100596.895326253
2006-08-01,100302.171605446
2006-09-01,101337.939239884
2006-10-01,103879.744130765
2006-11-01,102137.382008738
2006-12-01,102466.134607139
2007-01-01,103288.211067841
2007-02-01,101276.991595335
2007-03-01,99539.5419647659
2007-04-01,99920.706930386
2007-05-01,98897.2014208548
2007-06-01,97189.4935542366
2007-07-01,95836.7306414045
2007-08-01,93841.9602649007
2007-09-01,93452.5008627255
2007-10-01,94981.2323152635
2007-11-01,94807.0288087759
2007-12-01,94729.519183734
2008-01-01,94016.8835138009
2008-02-01,92550.9476554304
2008-03-01,92793.856563855
2008-04-01,94073.7293047923
2008-05-01,94229.3021521798
2008-06-01,95596.264759445
2008-07-01,96928.1299121509
2008-08-01,94673.0557342101
2008-09-01,95747.7085357247
2008-10-01,96952.8610885102
2008-11-01,101114.941340763
2008-12-01,103423.91237209
2009-01-01,103064.269216362
2009-02-01,106606.628189641
2009-03-01,109867.494319096
2009-04-01,113505.768611686
2009-05-01,117193.410547193
2009-06-01,122272.215147977
2009-07-01,125920.066460643
2009-08-01,126598.040973683
2009-09-01,123093.437604232
2009-10-01,120120.978769571
2009-11-01,123785.51147264
2009-12-01,122887.438917267
2010-01-01,128279.935052026
2010-02-01,129436.18729499
2010-03-01,129905.011486355
2010-04-01,129260.441940628
2010-05-01,128426.672904491
2010-06-01,123927.475916886
2010-07-01,121478.190351207
2010-08-01,121079.090026155
2010-09-01,121967.317147607
2010-10-01,115398.49396198
2010-11-01,110741.622334952
2010-12-01,112137.488320406
2011-01-01,117269.11834977
2011-02-01,118335.831269845
2011-03-01,117599.807238792
2011-04-01,113538.092098078
2011-05-01,109614.312946248
2011-06-01,108224.531051163
2011-07-01,112969.503605001
2011-08-01,116161.982732133
2011-09-01,119596.46477448
2011-10-01,120104.662959527
2011-11-01,120271.28197402
2011-12-01,119352.536217649
2012-01-01,112975.974456919
2012-02-01,111138.900800658
2012-03-01,111224.244439668
2012-04-01,111509.321796071
2012-05-01,112156.533060159
2012-06-01,111792.640565551
2012-07-01,113650.260898664
2012-08-01,115924.614082715
2012-09-01,119030.572224639
2012-10-01,125283.010181838
2012-11-01,128747.874232687
2012-12-01,128415.393968972
2013-01-01,122740.025205468
2013-02-01,121446.322733031
2013-03-01,120447.327933503
2013-04-01,120577.450941704
2013-05-01,121021.294975496
2013-06-01,118436.468139473
2013-07-01,114729.118060989
2013-08-01,113320.91045844
2013-09-01,112531.931626484
2013-10-01,112966.645236297
2013-11-01,112167.992139567
2013-12-01,114903.760709712
2014-01-01,119779.785687703
2014-02-01,121278.139796514
2014-03-01,122501.991011054
2014-04-01,126970.323202861
2014-05-01,127998.820644053
2014-06-01,127196.669851486
2014-07-01,128172.536177467
2014-08-01,127930.01640041
2014-09-01,124016.259604839
2014-10-01,116923.242849454
2014-11-01,112659.639838271
2014-12-01,113104.075574953
2015-01-01,114856.118873006
2015-02-01,115445.279957479
2015-03-01,117031.742384405
2015-04-01,117928.205614186
2015-05-01,117815.081449677
2015-06-01,120342.117878493
2015-07-01,126225.945879945
2015-08-01,128511.768283738
2015-09-01,127946.335334651
2015-10-01,126672.184220448
2015-11-01,125718.966455741
2015-12-01,126256.722438802
2016-01-01,125087.188950361
2016-02-01,125345.195179186
2016-03-01,126462.354152648
2016-04-01,127742.526987617
2016-05-01,127930.665287093
2016-06-01,128839.262448818
2016-07-01,128692.600822088
2016-08-01,128817.253012637
2016-09-01,127939.279886683
2016-10-01,125542.540085984
2016-11-01,123619.744571062
2016-12-01,123927.766384405
2017-01-01,126196.176655673
2017-02-01,126979.039222955
2017-03-01,125384.441306707
2017-04-01,121654.049077394
2017-05-01,119684.788112768
2017-06-01,122208.313019223
2017-07-01,127593.260388764
2017-08-01,129084.342584782
2017-09-01,128660.526225279
2017-10-01,130306.319963965
2017-11-01,130705.404392085
2017-12-01,130531.885386285
2018-01-01,131256.787989166
2018-02-01,130981.969158598
2018-03-01,127479.152833096
2018-04-01,122903.634897268
2018-05-01,120014.968745503
2018-06-01,118404.292107904
2018-07-01,113337.416495196
2018-08-01,111081.896924927
2018-09-01,114746.224724428
2018-10-01,128958.22126141
2018-11-01,134127.571284083
2018-12-01,131659.160556531
2019-01-01,124947.160943729
2019-02-01,123586.889471875
2019-03-01,121108.857993925
2019-04-01,118954.991968659
2019-05-01,116900.724197746
2019-06-01,115771.937765108
2019-07-01,114693.230221141
2019-08-01,113303.656808024
2019-09-01,112752.958491567
2019-10-01,113478.587261394
2019-11-01,112945.383133336
2019-12-01,112584.11186684
2020-01-01,113114.242977227
2020-02-01,113157.322743906
2020-03-01,118614.539934761
2020-04-01,126400.870091432
2020-05-01,131189.654883035
2020-06-01,132233.266577616
