time,value
2010-01-01,65402.4829715153
2010-02-01,65993.8913809665
2010-03-01,65066.644668238
2010-04-01,64362.2579307976
2010-05-01,62453.3160165641
2010-06-01,62376.1005428588
2010-07-01,63117.531977306
2010-08-01,60942.9385086803
2010-09-01,60415.4617330255
2010-10-01,58954.8605317455
2010-11-01,57866.6035887584
2010-12-01,58686.9222406932
2011-01-01,61857.698274484
2011-02-01,63410.5464297469
2011-03-01,60520.4645026005
2011-04-01,52602.409155633
2011-05-01,47774.602541482
2011-06-01,50919.1886853227
2011-07-01,61685.4145489607
2011-08-01,63932.0595890877
2011-09-01,64032.3420554151
2011-10-01,62863.1814370125
2011-11-01,62809.0399909356
2011-12-01,61614.602975453
2012-01-01,57104.2033792675
2012-02-01,56198.2699482297
2012-03-01,56414.988666085
2012-04-01,58756.8600957403
2012-05-01,58321.4721401818
2012-06-01,56959.8083345515
2012-07-01,53190.7286274612
2012-08-01,50772.0454657115
2012-09-01,52648.5926262653
2012-10-01,58812.7395420058
2012-11-01,61252.7783571313
2012-12-01,61373.3752489257
2013-01-01,60809.9817845973
2013-02-01,61135.9738250683
2013-03-01,61045.9408252894
2013-04-01,61747.5776501041
2013-05-01,61409.5964724605
2013-06-01,59216.7311323518
2013-07-01,54518.5573608159
2013-08-01,51528.2204491616
2013-09-01,51245.9191390134
2013-10-01,50590.1507273721
2013-11-01,49900.119376598
2013-12-01,52678.3220874104
2014-01-01,60513.6431394241
2014-02-01,62643.1970241108
2014-03-01,63094.4866079403
2014-04-01,61995.0211659358
2014-05-01,61384.6225401878
2014-06-01,61327.2811443321
2014-07-01,62578.5293367073
2014-08-01,61853.1077029573
2014-09-01,60623.7112378502
2014-10-01,57579.6199273064
2014-11-01,55517.4249890512
2014-12-01,54399.846409555
2015-01-01,51897.3534135716
2015-02-01,50150.5992999528
2015-03-01,53290.7002998835
2015-04-01,57588.8360863641
2015-05-01,59268.4110468501
2015-06-01,61167.4155403564
2015-07-01,64683.4725979364
2015-08-01,65860.3302044661
2015-09-01,66262.1706947581
2015-10-01,65927.4832551195
2015-11-01,65530.0457464814
2015-12-01,64456.300975244
2016-01-01,61535.2235987495
2016-02-01,60049.3789518868
2016-03-01,61954.6051730539
2016-04-01,63529.9290936647
2016-05-01,64539.5067168581
2016-06-01,65166.9461667988
2016-07-01,64463.8136736957
2016-08-01,64578.7760694539
2016-09-01,65230.0068781239
2016-10-01,65581.166467717
2016-11-01,65006.5087011908
2016-12-01,63413.8517324812
2017-01-01,61045.0910713362
2017-02-01,59665.4609784911
2017-03-01,60363.7357565573
2017-04-01,60527.8134629093
2017-05-01,60614.8125521875
2017-06-01,61526.9561716635
2017-07-01,62658.4639251352
2017-08-01,63422.4974085841
2017-09-01,63189.7141930524
2017-10-01,62064.7467674996
2017-11-01,61396.8154928697
2017-12-01,61330.486265923
2018-01-01,64070.2896719211
2018-02-01,64810.4774810532
2018-03-01,63644.1225077255
2018-04-01,62487.2171286421
2018-05-01,62210.8571693236
2018-06-01,60622.6225523415
2018-07-01,54960.6982532926
2018-08-01,53496.9186287903
2018-09-01,56968.4533074569
2018-10-01,67000.4757657317
2018-11-01,70399.8334917639
2018-12-01,69537.1869697121
2019-01-01,68731.4770518678
2019-02-01,69131.3577872186
2019-03-01,65854.1572364268
2019-04-01,60996.4214860119
2019-05-01,59619.0949337791
2019-06-01,58032.6247557729
2019-07-01,55922.5307861804
2019-08-01,55571.3837994417
2019-09-01,55876.4958597962
2019-10-01,56836.8810791894
2019-11-01,56454.9076314246
2019-12-01,55115.9133662125
2020-01-01,53238.4755289969
2020-02-01,52722.2537114651
2020-03-01,54010.9104650117
2020-04-01,55095.6556849827
2020-05-01,57484.2431166979
2020-06-01,60115.3356020527
2020-07-01,65768.7984254503
2020-08-01,67518.8130316885
2020-09-01,68057.4431458675
2020-10-01,70234.7292234877
2020-11-01,71782.6086320725
2020-12-01,72820.4696913056
2021-01-01,75150.1050519768
2021-02-01,76779.3746868633
2021-03-01,73445.5305481972
2021-04-01,66516.1067156362
2021-05-01,65297.5216941845
2021-06-01,63509.7890268166
2021-07-01,63829.2544528131
2021-08-01,62656.0756248772
2021-09-01,60884.5659941857
2021-10-01,58910.6345436465
2021-11-01,57593.2149998029
2021-12-01,56656.2789081312
2022-01-01,55266.1091488258
2022-02-01,55319.8111635377
2022-03-01,55614.4823521325
2022-04-01,58855.8366557808
2022-05-01,61567.3668373175
2022-06-01,58698.6570091804
2022-07-01,55958.4097125313
2022-08-01,54517.7468753212
2022-09-01,53584.1641562603
2022-10-01,51482.5632365306
2022-11-01,50694.1218892203
2022-12-01,50886.2722040245
2023-01-01,52076.2141025475
2023-02-01,52957.6183963055
2023-03-01,53066.9195763788
2023-04-01,54752.7871175349
2023-05-01,58187.1540379702
2023-06-01,55299.2041102681
2023-07-01,52007.1717769818
2023-08-01,51440.9958875137
2023-09-01,52110.023802692
2023-10-01,53348.074336864
2023-11-01,54112.855166291
2023-12-01,53881.9900017846
2024-01-01,52193.4250159957
2024-02-01,52361.7778516423
2024-03-01,52876.0658176855
