time,value
2010-01-01,17740.7138278864
2010-02-01,18364.7248421884
2010-03-01,17269.8052159899
2010-04-01,14316.6479502472
2010-05-01,13119.94669131
2010-06-01,12959.7948885045
2010-07-01,13337.6919491145
2010-08-01,12769.1237534485
2010-09-01,13095.9933627035
2010-10-01,12801.1949457301
2010-11-01,12832.3815190025
2010-12-01,12999.1912273979
2011-01-01,13321.8759876842
2011-02-01,13049.4656983917
2011-03-01,12658.8977135938
2011-04-01,12331.8280193773
2011-05-01,11895.9301004821
2011-06-01,11453.5888109374
2011-07-01,10521.1059320722
2011-08-01,9923.9609121898
2011-09-01,11351.66849778
2011-10-01,14919.1135199295
2011-11-01,16432.3525722512
2011-12-01,16324.4766684694
2012-01-01,13290.2983185954
2012-02-01,12323.2863024276
2012-03-01,12604.8278731674
2012-04-01,13744.7666895454
2012-05-01,14105.4986914192
2012-06-01,13740.1909273182
2012-07-01,12806.9242155065
2012-08-01,12350.0143284128
2012-09-01,12903.1180369531
2012-10-01,14158.0072062078
2012-11-01,14486.286090034
2012-12-01,15270.4473566085
2013-01-01,14990.9174183146
2013-02-01,15110.2423165997
2013-03-01,15495.1481122482
2013-04-01,16084.6980108938
2013-05-01,16297.3546783355
2013-06-01,16159.3383716118
2013-07-01,16303.0030450502
2013-08-01,16137.4026542475
2013-09-01,15266.3008308976
2013-10-01,13067.4400528989
2013-11-01,11556.0932574213
2013-12-01,12908.8885862494
2014-01-01,15154.2112222854
2014-02-01,16077.2158643442
2014-03-01,16511.76053046
2014-04-01,16531.3535790068
2014-05-01,16613.1553540113
2014-06-01,17238.6052685819
2014-07-01,19569.4995495859
2014-08-01,20150.5066665995
2014-09-01,18988.2861058149
2014-10-01,16229.3993606133
2014-11-01,14244.4159974499
2014-12-01,15428.5102202158
2015-01-01,16795.1972425794
2015-02-01,17397.2200155586
2015-03-01,18054.1112219308
2015-04-01,18630.7909865891
2015-05-01,18864.5085454481
2015-06-01,19073.2651150325
2015-07-01,19387.3349836456
2015-08-01,19603.0173475196
2015-09-01,19715.3214533967
2015-10-01,21045.8339094472
2015-11-01,20685.3381600169
2015-12-01,20915.8355862177
2016-01-01,18005.0963235993
2016-02-01,17011.4333384387
2016-03-01,18197.5947914914
2016-04-01,21017.9865777798
2016-05-01,21882.8333690638
2016-06-01,22100.6250484665
2016-07-01,22409.6253688842
2016-08-01,22685.6284590735
2016-09-01,22234.1031115347
2016-10-01,21682.2398610133
2016-11-01,20750.9916917026
2016-12-01,21023.9659523168
2017-01-01,20063.5073347717
2017-02-01,19431.1824652364
2017-03-01,18532.581306054
2017-04-01,17126.6333617038
2017-05-01,16636.0363483395
2017-06-01,16737.7803399198
2017-07-01,17099.1433347717
2017-08-01,17111.7754573387
2017-09-01,16619.6724413367
2017-10-01,15502.623690959
2017-11-01,14579.1064049546
2017-12-01,15571.4690936916
2018-01-01,18204.0612470474
2018-02-01,18839.1004678835
2018-03-01,17832.0228249743
2018-04-01,15822.9101392366
2018-05-01,15033.540432445
2018-06-01,14994.5259786951
2018-07-01,15317.2361803612
2018-08-01,15510.2664211688
2018-09-01,15990.1690181318
2018-10-01,17291.0103145045
2018-11-01,17709.229326118
2018-12-01,17943.4957680828
2019-01-01,17635.8003070069
2019-02-01,17513.7803826006
2019-03-01,17270.7406359379
2019-04-01,17589.3279532443
2019-05-01,17601.3129594687
2019-06-01,17716.8777930185
2019-07-01,18418.5567137702
2019-08-01,18504.1626598021
2019-09-01,17953.4184203862
2019-10-01,16505.943234457
2019-11-01,16133.5724370899
2019-12-01,16667.8561505764
2020-01-01,17828.8863097631
2020-02-01,17857.8618062481
2020-03-01,18106.6331551657
2020-04-01,18215.0214518256
2020-05-01,18669.1956209715
2020-06-01,18824.5012749831
2020-07-01,18626.012150236
2020-08-01,18556.3988472649
2020-09-01,19096.1702092038
2020-10-01,20031.5434978484
2020-11-01,20662.6133539563
2020-12-01,20741.4145976044
2021-01-01,20847.1919550061
2021-02-01,20873.0043377625
2021-03-01,20633.9961217878
2021-04-01,19854.8694746784
2021-05-01,19466.1184416711
2021-06-01,19044.2143264346
2021-07-01,18029.0389913781
2021-08-01,17225.8344953087
2021-09-01,17250.8681004377
2021-10-01,18316.4156959539
2021-11-01,18732.6311342229
2021-12-01,17585.6462733391
2022-01-01,15201.5036378254
2022-02-01,14162.8342362611
2022-03-01,14364.1758993921
2022-04-01,15289.4201352462
2022-05-01,15373.0759392005
2022-06-01,15148.6935954559
