time,value
2010-01-01,54807.5116321312
2010-02-01,52960.8748206675
2010-03-01,50830.697105334
2010-04-01,48438.8379172879
2010-05-01,46133.3667945851
2010-06-01,44455.9112027032
2010-07-01,43759.3825662694
2010-08-01,43639.7670073397
2010-09-01,43645.0194828251
2010-10-01,43585.9392026835
2010-11-01,43249.277154591
2010-12-01,42449.6502252742
2011-01-01,41565.5271198477
2011-02-01,41115.6588193668
2011-03-01,41226.4539897762
2011-04-01,41605.1688787317
2011-05-01,41940.5800354493
2011-06-01,41964.5706518475
2011-07-01,42020.0130425485
2011-08-01,42499.8216000965
2011-09-01,43557.5418283547
2011-10-01,44586.9846922985
2011-11-01,44881.9668311959
2011-12-01,44193.9513306687
2012-01-01,43032.9150890604
2012-02-01,42254.7674613675
2012-03-01,42366.3517718555
2012-04-01,43143.5772186669
2012-05-01,44085.915085456
2012-06-01,44773.4483177741
2012-07-01,45283.9284954675
2012-08-01,45980.5153073633
2012-09-01,46893.5294530969
2012-10-01,48033.515334082
2012-11-01,49440.5054356859
2012-12-01,51037.7061630597
2013-01-01,52571.6018674286
2013-02-01,53709.957860916
2013-03-01,54279.2097020271
2013-04-01,54457.3889192675
2013-05-01,54621.2826446754
2013-06-01,55014.0185366463
2013-07-01,55263.0089244024
2013-08-01,55118.1019572423
2013-09-01,54719.9349225237
2013-10-01,54571.1266710368
2013-11-01,55211.1072991569
2013-12-01,56724.7851734436
2014-01-01,58549.4275166946
2014-02-01,59801.9337452875
2014-03-01,59951.2530975634
2014-04-01,59049.9978756154
2014-05-01,57577.801847924
2014-06-01,56191.1924354815
2014-07-01,55077.2523242768
2014-08-01,53948.3755528083
2014-09-01,52483.4875752136
2014-10-01,50748.681768231
2014-11-01,49111.4365773182
2014-12-01,48058.1539095614
2015-01-01,48036.5807007147
2015-02-01,49368.3583341393
2015-03-01,51947.992990962
2015-04-01,55133.1978602443
2015-05-01,57850.5725092059
2015-06-01,59343.3375386183
2015-07-01,59900.3619163352
2015-08-01,60553.1587377726
2015-09-01,61973.8196614118
2015-10-01,63863.9693726596
2015-11-01,65298.5148237923
2015-12-01,65778.0102925294
2016-01-01,65305.7734983453
2016-02-01,64129.0199189705
2016-03-01,62597.3345399112
2016-04-01,61189.2451324494
2016-05-01,60448.120528841
2016-06-01,60628.6215651268
2016-07-01,61479.6777383753
2016-08-01,62364.70504926
2016-09-01,62765.7312863618
2016-10-01,62735.3977650363
2016-11-01,62565.0948070922
2016-12-01,62303.7062087043
2017-01-01,61617.2223706364
2017-02-01,60255.4825537257
2017-03-01,58266.9972203018
2017-04-01,56120.0955022712
2017-05-01,54516.8500817895
2017-06-01,53869.8883183362
2017-07-01,53781.8155944963
2017-08-01,53435.3316672214
2017-09-01,52414.0056242903
2017-10-01,51174.3998482501
2017-11-01,50576.813330607
2017-12-01,51114.3538932475
2018-01-01,52486.6026684176
2018-02-01,53919.3510857708
2018-03-01,54759.5546417991
2018-04-01,54671.2579669478
2018-05-01,53694.6071406761
2018-06-01,52150.1161682932
2018-07-01,50714.8025197679
2018-08-01,50200.0370751021
2018-09-01,50930.4298318977
2018-10-01,52405.1184348545
2018-11-01,53698.1231938387
2018-12-01,54229.7839424136
2019-01-01,53862.854756869
2019-02-01,52787.6145342936
2019-03-01,51352.5958996662
2019-04-01,50133.4129209445
2019-05-01,49741.2295644862
2019-06-01,50413.8324072244
2019-07-01,51518.5047221065
2019-08-01,52004.0688076249
2019-09-01,51282.9514156614
2019-10-01,49575.9602349396
2019-11-01,47728.3916282743
2019-12-01,46402.9833890917
2020-01-01,46005.264954142
2020-02-01,46695.6333212904
2020-03-01,48475.1405619301
2020-04-01,51053.5708045497
2020-05-01,53701.9485248131
2020-06-01,55720.2125026157
2020-07-01,56849.8608630974
2020-08-01,57165.0457108406
2020-09-01,57091.5921734579
2020-10-01,56944.9437878604
2020-11-01,56966.8687473445
2020-12-01,57225.7569148752
2021-01-01,57929.2916220654
2021-02-01,59061.6105739409
2021-03-01,60303.3236812501
2021-04-01,61114.8948092413
2021-05-01,60972.026730676
2021-06-01,59772.4091942545
2021-07-01,58213.3261605518
2021-08-01,57364.8614354848
2021-09-01,57677.0695903202
