time,value
1991-01-01,11545.3398610681
1991-02-01,11836.5804203431
1991-03-01,16490.1383128249
1991-04-01,21891.2802633911
1991-05-01,22941.6520013181
1991-06-01,23183.5599973443
1991-07-01,22586.2985240274
1991-08-01,23562.9046660909
1991-09-01,23848.8286028165
1991-10-01,24727.1776440523
1991-11-01,25541.7869119385
1991-12-01,25956.7573735687
1992-01-01,26945.5295347164
1992-02-01,28638.273175032
1992-03-01,31892.0427631956
1992-04-01,35486.0042759473
1992-05-01,36787.040692833
1992-06-01,37608.03809614
1992-07-01,38077.9999738577
1992-08-01,39298.6999882809
1992-09-01,40168.2761999558
1992-10-01,40945.9478680897
1992-11-01,42847.1429120992
1992-12-01,42775.417000198
1993-01-01,43303.9511182622
1993-02-01,45211.5567298877
1993-03-01,46746.6119351764
1993-04-01,46949.90404843
1993-05-01,48113.3337184253
1993-06-01,52237.0139538462
1993-07-01,55857.6254764354
1993-08-01,57224.0514271023
1993-09-01,60905.8200909211
1993-10-01,63527.8056967371
1993-11-01,64132.963185166
1993-12-01,66818.1383252436
1994-01-01,69950.6863928561
1994-02-01,69599.7052485959
1994-03-01,68627.7457643445
1994-04-01,68262.6879818594
1994-05-01,67239.3545118188
1994-06-01,67459.893469504
1994-07-01,67601.9030079086
1994-08-01,67608.4115646648
1994-09-01,66378.3954354245
1994-10-01,64512.982181376
1994-11-01,63974.5471632365
1994-12-01,62889.0574307877
1995-01-01,61496.1394269422
1995-02-01,60718.2451506408
1995-03-01,58479.4009297225
1995-04-01,57144.5850584537
1995-05-01,56876.7870996065
1995-06-01,54060.0152983919
1995-07-01,49438.887679265
1995-08-01,49856.200549402
1995-09-01,53094.9716974763
1995-10-01,57245.8000801445
1995-11-01,58137.9033304202
1995-12-01,57963.1741353507
1996-01-01,57173.1974313679
1996-02-01,58287.5857462611
1996-03-01,62584.0862242073
1996-04-01,68998.2015546934
1996-05-01,69912.3336439831
1996-06-01,69500.1033620793
1996-07-01,68848.2016330429
1996-08-01,69864.2353481723
1996-09-01,69613.5508720768
1996-10-01,68058.1248126899
1996-11-01,69234.7825338161
1996-12-01,72377.4664612639
1997-01-01,78749.6037765878
1997-02-01,80213.9051758518
1997-03-01,78848.4133126757
1997-04-01,77520.6446815143
1997-05-01,77980.3789721086
1997-06-01,80178.6218199356
1997-07-01,82582.2634772474
1997-08-01,82878.2327089027
1997-09-01,82497.4513528465
1997-10-01,81145.2022412723
1997-11-01,80915.6925115667
1997-12-01,80079.4408241702
1998-01-01,80623.655927314
1998-02-01,79459.7743917387
1998-03-01,75321.936076708
1998-04-01,70276.8591168499
1998-05-01,69802.0522644557
1998-06-01,69522.6727886997
1998-07-01,70006.563599407
1998-08-01,69153.8297925224
1998-09-01,68054.2723410026
1998-10-01,66538.8678166322
1998-11-01,65898.5672475419
1998-12-01,63421.3887601391
1999-01-01,59502.1908606388
1999-02-01,59036.5762592993
1999-03-01,59639.9291384579
1999-04-01,60730.1653098863
1999-05-01,60297.6865901155
1999-06-01,58580.055212376
1999-07-01,57037.2411615822
1999-08-01,56349.1913966135
1999-09-01,56123.4919883363
1999-10-01,55588.609334721
1999-11-01,54800.7068142017
1999-12-01,54752.4195798307
2000-01-01,54612.050475912
2000-02-01,53690.6480167188
2000-03-01,52833.2253603496
2000-04-01,52018.1445464868
2000-05-01,50899.2485643755
2000-06-01,51067.1384263269
2000-07-01,51268.3281267264
2000-08-01,50705.4344642145
2000-09-01,50953.1981894678
2000-10-01,52435.9856394623
2000-11-01,52869.8738244258
2000-12-01,48184.4747181473
2001-01-01,41185.9897911689
2001-02-01,41059.7604280766
2001-03-01,42312.542876713
2001-04-01,45515.1863379805
2001-05-01,46476.5184794688
2001-06-01,42152.6079349433
2001-07-01,37069.964965587
2001-08-01,38263.0585407923
2001-09-01,37107.7068045204
2001-10-01,35072.8511753843
2001-11-01,37611.6249065312
2001-12-01,39796.7395750165
2002-01-01,42585.3914460265
2002-02-01,44197.0821979838
2002-03-01,47744.5351309957
2002-04-01,51882.0398603938
2002-05-01,53423.3330557018
2002-06-01,55022.507238046
2002-07-01,56569.9929789032
2002-08-01,58611.2510722577
2002-09-01,62442.0722225078
2002-10-01,65260.4023640492
2002-11-01,68555.8493563401
2002-12-01,72090.6070785576
2003-01-01,77294.6730561797
2003-02-01,80314.1148516457
2003-03-01,81319.0468346384
2003-04-01,81845.1682700126
2003-05-01,83597.857876808
2003-06-01,85152.3449603987
2003-07-01,86909.4555238001
2003-08-01,88113.9939757173
2003-09-01,88161.0589704404
2003-10-01,87067.4010854645
2003-11-01,88039.6871790055
2003-12-01,87031.2133004811
2004-01-01,86685.2827789607
2004-02-01,87091.4422029488
2004-03-01,86620.4516883908
2004-04-01,84944.5056626999
2004-05-01,84375.9758647999
2004-06-01,86749.062494547
