time,value
1991-01-01,17809.9273836497
1991-02-01,19142.5029055262
1991-03-01,25471.0796771843
1991-04-01,32784.755189514
1991-05-01,34561.076090017
1991-06-01,32960.6667914661
1991-07-01,29536.5247787377
1991-08-01,30545.8833564096
1991-09-01,32702.1939018137
1991-10-01,36136.0483946799
1991-11-01,37232.0949385092
1991-12-01,38705.7752381155
1992-01-01,41158.0351953522
1992-02-01,44860.6367244093
1992-03-01,49649.8606495008
1992-04-01,54576.4326069572
1992-05-01,56801.3209225213
1992-06-01,57807.9224582867
1992-07-01,58780.4893111012
1992-08-01,60853.8207273031
1992-09-01,62814.5756400182
1992-10-01,64319.3862758086
1992-11-01,67596.3738896915
1992-12-01,68111.2684530124
1993-01-01,68809.4412014417
1993-02-01,71338.6822999518
1993-03-01,72884.5510122378
1993-04-01,71709.3472533131
1993-05-01,73388.2211874239
1993-06-01,79060.3697961293
1993-07-01,85296.8852172097
1993-08-01,87161.999723746
1993-09-01,87997.5492599627
1993-10-01,87059.5210841512
1993-11-01,87581.7714051437
1993-12-01,88535.5771689942
1994-01-01,88967.1106194329
1994-02-01,87989.8633798986
1994-03-01,85715.9596459613
1994-04-01,83683.8906875279
1994-05-01,82421.649470141
1994-06-01,83465.3183174806
1994-07-01,84187.4989489838
1994-08-01,83326.6321119855
1994-09-01,81459.2480333532
1994-10-01,78787.3087036164
1994-11-01,76625.7622844901
1994-12-01,76400.1770911262
1995-01-01,75085.9964373479
1995-02-01,73444.6609102525
1995-03-01,71726.8556721568
1995-04-01,72544.8421016307
1995-05-01,72234.4462821886
1995-06-01,67313.6185539196
1995-07-01,60458.5095305093
1995-08-01,60894.7477653715
1995-09-01,64444.8658889018
1995-10-01,69799.3638050341
1995-11-01,69554.39154723
1995-12-01,69872.9860861434
1996-01-01,69662.7495439356
1996-02-01,70801.1914683413
1996-03-01,74808.7616925352
1996-04-01,81346.9582878689
1996-05-01,82494.3188780186
1996-06-01,82096.2488074742
1996-07-01,81154.2235874672
1996-08-01,82665.3465295266
1996-09-01,84889.1855761476
1996-10-01,86542.7906574003
1996-11-01,87574.3078367277
1996-12-01,94155.268912575
1997-01-01,105577.990631606
1997-02-01,107257.504640714
1997-03-01,104063.797694107
1997-04-01,101711.070698385
1997-05-01,101582.263623832
1997-06-01,102833.625385016
1997-07-01,105810.529697112
1997-08-01,105981.339657481
1997-09-01,101142.404284103
1997-10-01,95055.0268856728
1997-11-01,93151.2436097119
1997-12-01,91375.8893878749
1998-01-01,89687.4050641187
1998-02-01,88234.541572641
1998-03-01,83461.8291391503
1998-04-01,78729.366690628
1998-05-01,77319.1556177768
1998-06-01,76288.4429940585
1998-07-01,75234.7003065977
1998-08-01,73655.2363699704
1998-09-01,74132.3575074679
1998-10-01,75561.4124649246
1998-11-01,73102.8764892938
1998-12-01,70397.6456045929
1999-01-01,64880.3123517821
1999-02-01,64197.111821859
1999-03-01,65626.8847329689
1999-04-01,67738.30870844
1999-05-01,66572.689672876
1999-06-01,65715.1388383724
1999-07-01,65199.5334340484
1999-08-01,63622.1621668775
1999-09-01,64913.1726813806
1999-10-01,66543.3448200398
1999-11-01,63757.2064528624
1999-12-01,64628.812490943
2000-01-01,64377.4586855075
2000-02-01,62891.1911632074
2000-03-01,60972.0519400022
2000-04-01,59722.7246119562
2000-05-01,58631.4477091417
2000-06-01,56737.7015358149
2000-07-01,55574.7596085601
2000-08-01,54286.0852444112
2000-09-01,52321.1117503749
2000-10-01,51034.6987146918
2000-11-01,49151.2758468225
2000-12-01,45979.2107777961
2001-01-01,40460.3670796142
2001-02-01,40262.3952059613
2001-03-01,42243.3174433785
2001-04-01,45141.9867128466
2001-05-01,46974.1323428492
2001-06-01,44347.7931318522
2001-07-01,42026.1699603136
2001-08-01,42893.2342376744
2001-09-01,44260.8673379036
2001-10-01,46964.9656178988
2001-11-01,49318.6964536468
2001-12-01,51272.554053633
2002-01-01,52572.84736552
2002-02-01,54581.5901532027
2002-03-01,61002.9382247427
2002-04-01,68084.5501180543
2002-05-01,71233.0305930709
2002-06-01,71148.5004689706
2002-07-01,72065.5611543504
2002-08-01,74253.9807561464
2002-09-01,76569.517181628
2002-10-01,77903.9177001181
2002-11-01,81263.9621378225
2002-12-01,84676.1283819436
2003-01-01,89819.3692420185
2003-02-01,92998.6604493896
2003-03-01,93507.8298376268
2003-04-01,91856.521529481
2003-05-01,95027.7503268365
2003-06-01,97193.9951175442
2003-07-01,100395.793553221
2003-08-01,101136.197464341
2003-09-01,101953.745583302
2003-10-01,102469.977312085
2003-11-01,102936.605948603
2003-12-01,102563.513131874
2004-01-01,102812.526300641
2004-02-01,102545.815077361
2004-03-01,101265.642447907
2004-04-01,97138.6758205489
2004-05-01,97321.3193056566
2004-06-01,99916.7551486425
2004-07-01,103150.194732695
2004-08-01,104208.737223715
2004-09-01,103710.572807933
2004-10-01,102786.03040061
2004-11-01,102773.520727187
2004-12-01,101792.700190974
2005-01-01,99572.3371640349
2005-02-01,99682.7560989167
2005-03-01,99066.706758454
2005-04-01,96145.4145109262
2005-05-01,97156.7871073593
2005-06-01,97299.1624500651
2005-07-01,96605.5442392403
2005-08-01,97065.8558861572
2005-09-01,96602.3933613107
2005-10-01,96026.8017560711
2005-11-01,94685.1863543071
2005-12-01,94224.5706060035
2006-01-01,92982.9619448454
2006-02-01,91582.8553073002
2006-03-01,90064.8481763281
2006-04-01,87100.1471148464
2006-05-01,86890.2161475404
2006-06-01,86385.8813417307
2006-07-01,84947.1813107328
2006-08-01,84384.9586878853
2006-09-01,84047.1324778671
2006-10-01,84246.4830927919
2006-11-01,82561.330829764
