time,value
1991-01-01,34219.2013334996
1991-02-01,34343.303336948
1991-03-01,39692.8658962238
1991-04-01,45033.0530455061
1991-05-01,47618.8606488999
1991-06-01,45751.8443222659
1991-07-01,43552.5520799556
1991-08-01,43923.9047213645
1991-09-01,44412.6075396652
1991-10-01,46837.580523183
1991-11-01,48642.1114187854
1991-12-01,50849.2360990989
1992-01-01,53995.2727253303
1992-02-01,56115.6412679987
1992-03-01,59530.2737420879
1992-04-01,61373.2896054683
1992-05-01,64626.8777653556
1992-06-01,65188.6433013303
1992-07-01,65964.4578984701
1992-08-01,68963.6736225513
1992-09-01,70926.0669801714
1992-10-01,71719.6453534579
1992-11-01,74383.9325459873
1992-12-01,75132.7651079189
1993-01-01,76449.5344476832
1993-02-01,78303.7910742623
1993-03-01,79687.1271116343
1993-04-01,78485.5837768619
1993-05-01,81320.76803012
1993-06-01,84343.2887467154
1993-07-01,88061.5297361497
1993-08-01,90160.874634168
1993-09-01,89378.1223910551
1993-10-01,88071.6911197163
1993-11-01,88050.3571983414
1993-12-01,86833.6780439113
1994-01-01,84828.4713562822
1994-02-01,84042.1733264994
1994-03-01,82199.1366230728
1994-04-01,77954.2995895131
1994-05-01,78256.3510357547
1994-06-01,79184.4605748529
1994-07-01,79506.2751662563
1994-08-01,79173.6700857737
1994-09-01,78884.8347014773
1994-10-01,79679.042903453
1994-11-01,78404.4509107572
1994-12-01,78343.0524291762
1995-01-01,77864.4654100363
1995-02-01,76155.6370902981
1995-03-01,74039.4393121576
1995-04-01,69681.1587487257
1995-05-01,70455.0990318261
1995-06-01,69708.2027232685
1995-07-01,68703.1273256085
1995-08-01,69104.9875579691
1995-09-01,67913.516415799
1995-10-01,66970.7801935653
1995-11-01,67149.2732156869
1995-12-01,68143.8563088798
1996-01-01,68804.1090547089
1996-02-01,69240.2111787545
1996-03-01,71314.8405565101
1996-04-01,73927.9627510599
1996-05-01,75554.725585339
1996-06-01,73217.2533560585
1996-07-01,70517.9796607336
1996-08-01,71281.9003964334
1996-09-01,71078.6517176032
1996-10-01,71515.3657790683
1996-11-01,72262.8196796283
1996-12-01,71267.8536233221
1997-01-01,71053.1527099838
